type,title,url
FINRA Rule,Updates,https://www.finra.org/rules-guidance/rulebooks/updates
FINRA Rule,40 FINRA Rules,https://www.finra.org/rules-guidance/rulebooks/finra-rulebook-search-tool-first#first-rules
FINRA Rule,Learn More,https://www.finra.org/rules-guidance/rulebooks/finra-rulebook-search-tool-first
FINRA Rule,Expand All,https://www.finra.org/rules-guidance/rulebooks/finra-rules-expanded
FINRA Rule,0100. General Standards,https://www.finra.org/rules-guidance/rulebooks/finra-rules/0100
FINRA Rule,1000. Member Application and Associated Person Registration,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1000
FINRA Rule,2000. Duties and Conflicts,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2000
FINRA Rule,3000. Supervision and Responsibilities Relating to Associated Persons,https://www.finra.org/rules-guidance/rulebooks/finra-rules/3000
FINRA Rule,4000. Financial and Operational Rules,https://www.finra.org/rules-guidance/rulebooks/finra-rules/4000
FINRA Rule,5000. Securities Offering and Trading Standards and Practices,https://www.finra.org/rules-guidance/rulebooks/finra-rules/5000
FINRA Rule,"6000. Quotation, Order, and Transaction Reporting Facilities",https://www.finra.org/rules-guidance/rulebooks/finra-rules/6000
FINRA Rule,"7000. Clearing, Transaction and Order Data Requirements, and Facility Charges",https://www.finra.org/rules-guidance/rulebooks/finra-rules/7000
FINRA Rule,8000. Investigations and Sanctions,https://www.finra.org/rules-guidance/rulebooks/finra-rules/8000
FINRA Rule,9000. Code of Procedure,https://www.finra.org/rules-guidance/rulebooks/finra-rules/9000
FINRA Rule,11000. Uniform Practice Code,https://www.finra.org/rules-guidance/rulebooks/finra-rules/11000
FINRA Rule,12000. Code of Arbitration Procedure for Customer Disputes,https://www.finra.org/rules-guidance/rulebooks/finra-rules/12000
FINRA Rule,13000. Code of Arbitration Procedure for Industry Disputes,https://www.finra.org/rules-guidance/rulebooks/finra-rules/13000
FINRA Rule,14000. Code of Mediation Procedure,https://www.finra.org/rules-guidance/rulebooks/finra-rules/14000
FINRA Rule,0110. Adoption of Rules,https://www.finra.org/rules-guidance/rulebooks/finra-rules/0110
FINRA Rule,0120. Effective Date,https://www.finra.org/rules-guidance/rulebooks/finra-rules/0120
FINRA Rule,0130. Interpretation,https://www.finra.org/rules-guidance/rulebooks/finra-rules/0130
FINRA Rule,0140. Applicability,https://www.finra.org/rules-guidance/rulebooks/finra-rules/0140
FINRA Rule,0150. Application of Rules to Exempted Securities Except Municipal Securities,https://www.finra.org/rules-guidance/rulebooks/finra-rules/0150
FINRA Rule,0151. Coordination with the MSRB,https://www.finra.org/rules-guidance/rulebooks/finra-rules/0151
FINRA Rule,0160. Definitions,https://www.finra.org/rules-guidance/rulebooks/finra-rules/0160
FINRA Rule,"0170. Delegation, Authority and Access",https://www.finra.org/rules-guidance/rulebooks/finra-rules/0170
FINRA Rule,0180. Application of Rules to Security-Based Swaps,https://www.finra.org/rules-guidance/rulebooks/finra-rules/0180
FINRA Rule,"0190. Effective Date of Revocation, Cancellation, Expulsion, Suspension or Resignation",https://www.finra.org/rules-guidance/rulebooks/finra-rules/0190
FINRA Rule,1010. Electronic Filing Requirements for Uniform Forms,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1010
FINRA Rule,1011. Definitions,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1011
FINRA Rule,1012. General Provisions,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1012
FINRA Rule,1013. New Member Application and Interview,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1013
FINRA Rule,1014. Department Decision,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1014
FINRA Rule,1015. Review by National Adjudicatory Council,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1015
FINRA Rule,1016. Discretionary Review by FINRA Board,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1016
FINRA Rule,"1017. Application for Approval of Change in Ownership, Control, or Business Operations",https://www.finra.org/rules-guidance/rulebooks/finra-rules/1017
FINRA Rule,1018. Reserved,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1018
FINRA Rule,1019. Application to the SEC for Review,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1019
FINRA Rule,1020. Approval of Change in Exempt Status Under SEA Rule 15c3-3,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1020
FINRA Rule,1021. Foreign Members,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1021
FINRA Rule,1113. Restriction Pertaining to New Member Applications,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1113
FINRA Rule,1122. Filing of Misleading Information as to Membership or Registration,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1122
FINRA Rule,1210. Registration Requirements,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1210
FINRA Rule,1220. Registration Categories,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1220
FINRA Rule,1230. Associated Persons Exempt from Registration,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1230
FINRA Rule,1240. Continuing Education,https://www.finra.org/rules-guidance/rulebooks/finra-rules/1240
FINRA Rule,2010. STANDARDS OF COMMERCIAL HONOR AND PRINCIPLES OF TRADE,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2010
FINRA Rule,"2020. Use of Manipulative, Deceptive or Other Fraudulent Devices",https://www.finra.org/rules-guidance/rulebooks/finra-rules/2020
FINRA Rule,2030. Engaging in Distribution and Solicitation Activities with Government Entities,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2030
FINRA Rule,2040. Payments to Unregistered Persons,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2040
FINRA Rule,2060. Use of Information Obtained in Fiduciary Capacity,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2060
FINRA Rule,2070. Transactions Involving FINRA Employees,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2070
FINRA Rule,2080. Obtaining an Order of Expungement of Customer Dispute Information from the Central Registration Depository (CRD) System,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2080
FINRA Rule,2081. Prohibited Conditions Relating to Expungement of Customer Dispute,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2081
FINRA Rule,2090. Know Your Customer,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2090
FINRA Rule,2111. Suitability,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2111
FINRA Rule,2114. Recommendations to Customers in OTC Equity Securities,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2114
FINRA Rule,2121. Fair Prices and Commissions,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2121
FINRA Rule,2122. Charges for Services Performed,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2122
FINRA Rule,2124. Net Transactions with Customers,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2124
FINRA Rule,2130. Approval Procedures for Day-Trading Accounts,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2130
FINRA Rule,2140. Interfering With the Transfer of Customer Accounts in the Context of Employment Disputes,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2140
FINRA Rule,2150. Improper Use of Customers' Securities or Funds; Prohibition Against Guarantees and Sharing in Accounts,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2150
FINRA Rule,2165. Financial Exploitation of Specified Adults,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2165
FINRA Rule,2210. Communications with the Public,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2210
FINRA Rule,2211. Communications with the Public About Variable Life Insurance and Variable Annuities,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2211
FINRA Rule,2212. Use of Investment Companies Rankings in Retail Communications,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2212
FINRA Rule,2213. Requirements for the Use of Bond Mutual Fund Volatility Ratings,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2213
FINRA Rule,2214. Requirements for the Use of Investment Analysis Tools,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2214
FINRA Rule,2215. Communications with the Public Regarding Security Futures,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2215
FINRA Rule,2216. Communications with the Public About Collateralized Mortgage Obligations (CMOs),https://www.finra.org/rules-guidance/rulebooks/finra-rules/2216
FINRA Rule,2220. Options Communications,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2220
FINRA Rule,2231. Customer Account Statements,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2231
FINRA Rule,2232. Customer Confirmations,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2232
FINRA Rule,2241. Research Analysts and Research Reports,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2241
FINRA Rule,2242. Debt Research Analysts and Debt Research Reports,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2242
FINRA Rule,2251. Processing and Forwarding of Proxy and Other Issuer-Related Materials,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2251
FINRA Rule,2261. Disclosure of Financial Condition,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2261
FINRA Rule,2262. Disclosure of Control Relationship with Issuer,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2262
FINRA Rule,2263. Arbitration Disclosure to Associated Persons Signing or Acknowledging Form U4,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2263
FINRA Rule,2264. Margin Disclosure Statement,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2264
FINRA Rule,2265. Extended Hours Trading Risk Disclosure,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2265
FINRA Rule,2266. SIPC Information,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2266
FINRA Rule,2267. Investor Education and Protection,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2267
FINRA Rule,2268. Requirements When Using Predispute Arbitration Agreements for Customer Accounts,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2268
FINRA Rule,2269. Disclosure of Participation or Interest in Primary or Secondary Distribution,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2269
FINRA Rule,2270. Day-Trading Risk Disclosure Statement,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2270
FINRA Rule,2272. Sales and Offers of Sales of Securities on Military Installations,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2272
FINRA Rule,2273. Educational Communication Related to Recruitment Practices and Account Transfers,https://www.finra.org/rules-guidance/rulebooks/finra-rules/2273
