title,link,published,source,query,search_start,search_end
Stock-Split Watch: Is Apple Next? - Nasdaq,https://news.google.com/rss/articles/CBMickFVX3lxTE1KYTFXSlpDZFRqdl9pazJRSVlQWnJvQmxqZnpSRjhBcHJYbldscFB6UGZPblNkeGVUcDJuTFZYTTAtMlo4MFVmdy1CTFFrTUFQZXFzRlRnZTZPNUE1alF3Q2JWdmlCaXNyT0I5Rkh4VU1kdw?oc=5,"Sun, 14 Jan 2024 08:00:00 GMT",Nasdaq,Apple stock,2024-01-01,2024-01-31
Why I Sold Some Apple Stock to End 2023 and Where I'm Investing Instead - Yahoo Finance,https://news.google.com/rss/articles/CBMiekFVX3lxTFBFaktKVXF3aHRTX2ZVNURLc25kMlNhUlEyUkIzNTFEeURVd0F4LWVISVd2R2d6djFuSDJzQlVjUmhrUFptWU5hb01nemx4WDhzXzFvS3F6c2cyUUVmWDZWVFpUZlQtekluTXZYeHZSS1RXdS1rQ2huTmln?oc=5,"Mon, 08 Jan 2024 08:00:00 GMT",Yahoo Finance,Apple stock,2024-01-01,2024-01-31
Apple shares fall 4% after Barclays downgrade - CNBC,https://news.google.com/rss/articles/CBMinwFBVV95cUxNdHE5M0ozcGVSSHg0Zlk2MmVsS3JlWGRQTERYbXRUbVNZRDJac2d5bUwxNWlYb0RVQzRMUEVLZ0ZjRktCMFlVcXl5UV9FNFNiZXFodEZjQnYyZk80elBIV1M3a2lFd3ZXQWpwT1J4VXNNLVV5Z2pvWlZTYkFmSDF2bFpOQnduQ2NBZjhyYjRmeTVaTi0tT2M2M2VGYVUwYmfSAaQBQVVfeXFMUDFKMlNwZDZHWFlMLXVFS2lrNmx0ZTJZS1BsNDM4T3ZoanI4ZF9VS1UtWi1pWXFJLTg1WEdxZU13ZmY0SGpXWVVhcFBYeENBcFFUb1hKUWktU0F0MS1SdVl5V01QQzJfRy1fckZGckhYa05uZVBIMkhCRXF4U3VOVjZhSG5MdmR2c3lZb29GcnN2cVY0X1NhWGFlNlRLV19kVzNobHU?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",CNBC,Apple stock,2024-01-01,2024-01-31
Apple Stock Jumps After Bank of America Upgrade Citing Likely AI-Related Boost for iPhones - Investopedia,https://news.google.com/rss/articles/CBMixgFBVV95cUxPenVSNmoxdkdlS1VnUFVKWjNrY0VjLUtIb3lZOXBXcDVBd2x0ZGtqTjlVVlFNclU4dGFDYVlqWGJKVVFUNk9KVmFuM0IwRXFubFR4eV9HSjF3QzNIc1FSM0RodFJmaWFITE9Nci1tVGU2bnRpYk9Kb0F4YkdYV2FVR3k5LWFlZU05TXpBOFRjODVoS3R1djhhcHdTWEw0aWV4dU01bk1oMnIzY1NzZTZWS2VKb2dEcTdOQnRHRlpHdlE4dUFndHc?oc=5,"Thu, 18 Jan 2024 08:00:00 GMT",Investopedia,Apple stock,2024-01-01,2024-01-31
Analysts Ready to Unleash the Bears on Apple's Stock - ETF Trends,https://news.google.com/rss/articles/CBMimAFBVV95cUxQal93dF94aDBMdExKVDFzcU9Zd3JrdXRQazZWVVU5Q2Z1TDNJdldLMUJaSjBXVVIwLTB5NFBBTG1qdkZmaXl1UUlOb2hvNjFMeEltcDNQbzBqZEhKMnpBdmpwYW9vRlVOdGtfRTVpMW9iRDJyTnNyR2RQdUFVMUZJSnRvWEVVYXJBNTNLLXBzR2JtVGdrMklGctIBowFBVV95cUxPUzUxbThoUURvQVFJZlZkNFBXVlV3amZxa3p1LWpZLTJCZEZiOGw0cGhxckhSdjJxZU9YNUJjc0sxWU11a1FLNktMV1NtTk5BN3B6Uzl6TUdIZjM3QkxfUS1vOUVWd2JxZEdqcXIxRjBXUUlLODJ6aVVLZ2lDM0hxdDQzWEZ0Vlp1WUYyNXMwX3U3M2syR2N4UDFsd1Vzb2VLZnNZ?oc=5,"Fri, 19 Jan 2024 08:00:00 GMT",ETF Trends,Apple stock,2024-01-01,2024-01-31
Apple hits seven-week low after Barclays downgrade on demand concerns - Reuters,https://news.google.com/rss/articles/CBMikgFBVV95cUxOTC0tWThkaTVucVcxbFJjY3Y5Q1czNlBDTk5abzRMcjcyYW1ER2tfWGpEOFlLRmZLS3Bxb1JWamN0TXhDcWthdXVRczk4d2E3TkRIQUk4NkhCVVZmMnpqQkYxTk90aDZmcVNXcXFyVEEwOGpRMmVaY3BqYUpPdEtMU1BVMEVRdGZZUzQ2Q1M3TXRsZw?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",Reuters,Apple stock,2024-01-01,2024-01-31
Time to Buy the Dip in Apple Stock? - Kiplinger,https://news.google.com/rss/articles/CBMiekFVX3lxTE9nenpsMXE1ZV8zQlFHTWtJZ21BZ2FrTHFIRHpTSVY5V2ZQTUx3Mlo5WWJ0S2tsaERtTzJTVmQ0TTl2WGg1YW12UzVkcGRaeG5uTkJVQ2hONzc1dUkwY1NlYm93cEV1dlRGZ1NsanRmQjlveDhFd3dNTmpB?oc=5,"Mon, 08 Jan 2024 08:00:00 GMT",Kiplinger,Apple stock,2024-01-01,2024-01-31
(PDF) The prediction of Apple stock price based on linear regression model and random forest model - researchgate.net,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPVV9sQnlDa2ZPV0tFbkdvOHhRUG1mRXVDTElUNnh1eW9NZVVPUnhyMHVjSnBCcGI4ZmgwQmZBa001bGZGY1pDbzhlQU1tWEs0R1JmUE12STJidEFvQVlaT2JHT3Jpd0w4ZkRwNDZMajlmSUh0MkplNTdnME4tZzdqMTFKMVYxYTl0NVdObWZXNmc3cHB4Z1JtV3FkM2MxQk9nN2NkR2VqaXpmc1pNYlBtYnF1UEVRSlNDQVFGZVUzSlh1czdLWlF3YWVOanZOclZFTmIyNzlxeENZRnM?oc=5,"Fri, 26 Jan 2024 19:43:20 GMT",researchgate.net,Apple stock,2024-01-01,2024-01-31
"Apple shares slide following Barclays downgrade, dragging down markets - CNN",https://news.google.com/rss/articles/CBMidkFVX3lxTE1nOG5FbWlPSlJGaXNjQy1SeS1WZGZLVFE3ZGZfWDBRcFZhcmRydEEySk90ZXVJNFVkbVNpUGNVYlN2MnhiWHR1dy1mOEFfcFpjd3MwYUQtZ0gtNUZ3TG1jbGc5aFFneXItTEVfSUxWLWZlakIyU1E?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",CNN,Apple stock,2024-01-01,2024-01-31
Why Microsoft’s stock is a better investment than Apple’s - MarketWatch,https://news.google.com/rss/articles/CBMiowNBVV95cUxOOHFRR3pmOHNFazdPWTl5Tml4ZklzWm9lb01mdnZ5V3NuWl94V3FUUlZ6R3BsVzFnT1laWHZuNlhYdnRhTFItSlZOMFBBRlo5TTVyN2p1TVNOYnNiYVFtYzdDZk1iaE9TRE5sdEswZUZsUE9GNmtXVHFBVjhLOFB0Z3FDclBVMDVjTWJmdFdYQ3g1ekt1WHI0VkRSR0dya19hdFFOOTAzejdFMTA4UkxmQkthYUFDMC1QTEJYZmVpNjkyeXE4UVBNQUx4RG51Vl9rOVJ2Q3k0RVFHbF9WWm1lUGxKMlVRb09YVlRwNVBoUW9ldzBCS1hEX0dLYU4xTHZZbjl6Y2FzNjUtaXFpc19HTlg5Vjd4Z2paRkFNM3hhY1RGTjdyODF6N3ozYU1CNTVkWkcxSm52T0gyaVZMQ1liTkY1aTFRVFFtSGVFNkFSaWQxLWhKcXY5MjVZY1JEV0hXWTl5Z1JheUVISTBIR3QxeGI4cXBsS1ppeThDWDZIR28yYUlWUmg4bXpPc1FPQ0xYbVoxcFhNRk5hNTJxSVBjUDAwSQ?oc=5,"Fri, 12 Jan 2024 08:00:00 GMT",MarketWatch,Apple stock,2024-01-01,2024-01-31
