type,title,url
Compliance and Disclosure Interpretations,"EDGAR
                        Filer Management Portal",https://www.filermanagement.edgarfiling.sec.gov/filermgmt/Welcome/EDGARFilerMgmtMain.htm
Compliance and Disclosure Interpretations,"EDGAR
                        Filing Portal",https://www.onlineforms.edgarfiling.sec.gov/Welcome/EDGAROnlineFormsLogin.htm
Compliance and Disclosure Interpretations,"Online Forms Management
                        Portal",https://www.edgarfiling.sec.gov/Welcome/EDGARLogin.htm
Staff Accounting Bulletins,EDGAR Filer Management Portal,https://www.filermanagement.edgarfiling.sec.gov/filermgmt/Welcome/EDGARFilerMgmtMain.htm
Staff Accounting Bulletins,EDGAR Filing Portal,https://www.edgarfiling.sec.gov/Welcome/EDGARLogin.htm
Staff Accounting Bulletins,Online Forms Management Portal,https://www.onlineforms.edgarfiling.sec.gov/Welcome/EDGAROnlineFormsLogin.htm
Staff Accounting Bulletins,SAB 116,https://www.sec.gov/interps/account/sab116.pdf
Staff Accounting Bulletins,PDF version,https://www.sec.gov/interps/account/sab115.pdf
Staff Accounting Bulletins,SAB 114,https://www.sec.gov/interps/account/sab114.pdf
Staff Accounting Bulletins,PDF version,https://www.sec.gov/interps/account/sab113.pdf
Staff Accounting Bulletins,PDF version,https://www.sec.gov/interps/account/sab112.pdf
Staff Accounting Bulletins,PDF version,https://www.sec.gov/interps/account/sab111.pdf
Staff Accounting Bulletins,PDF version,https://www.sec.gov/interps/account/sab110.pdf
Staff Accounting Bulletins,PDF version,https://www.sec.gov/interps/account/sab109.pdf
Staff Accounting Bulletins,PDF version,https://www.sec.gov/interps/account/sab108.pdf
Staff Accounting Bulletins,"Securities and Exchange Commission's Office of Economic Analysis Memorandum, ""Economic Perspective on Employee Option Expensing""",https://www.sec.gov/interps/account/secoeamemo032905.pdf
Staff Accounting Bulletins,PDF version,https://www.sec.gov/interps/account/sab107.pdf
Staff Accounting Bulletins,SAB 106,https://www.sec.gov/interps/account/sab106.htm
Staff Accounting Bulletins,SAB 105,https://www.sec.gov/interps/account/sab105.htm
Staff Accounting Bulletins,SAB 104,https://www.sec.gov/interps/account/sab104rev.pdf
Staff Accounting Bulletins,SAB 103,https://www.sec.gov/interps/account/sab103.htm
Staff Accounting Bulletins,SAB 102,https://www.sec.gov/interps/account/sab102.htm
Staff Accounting Bulletins,SAB 101B,https://www.sec.gov/interps/account/sab101b1.htm
Staff Accounting Bulletins,SAB 101A,https://www.sec.gov/interps/account/sab101a1.htm
Staff Accounting Bulletins,SAB 101,https://www.sec.gov/interps/account/sab101.htm
Staff Accounting Bulletins,SAB 100,https://www.sec.gov/interps/account/sab100.htm
Staff Accounting Bulletins,SAB 99,https://www.sec.gov/interps/account/sab99.htm
Staff Accounting Bulletins,SEC Excess Personal Property Guidance,https://www.sec.gov/files/ocoo01-excess-pers-prop-guidance.pdf
Staff Legal Bulletins,EDGAR Filer Management Portal,https://www.filermanagement.edgarfiling.sec.gov/filermgmt/Welcome/EDGARFilerMgmtMain.htm
Staff Legal Bulletins,EDGAR Filing Portal,https://www.edgarfiling.sec.gov/Welcome/EDGARLogin.htm
Staff Legal Bulletins,Online Forms Management Portal,https://www.onlineforms.edgarfiling.sec.gov/Welcome/EDGAROnlineFormsLogin.htm
Staff Legal Bulletins,SLB 3R,https://www.sec.gov/interps/legal/cfslb3r.htm
Staff Legal Bulletins,SLB 14A,https://www.sec.gov/interps/legal/cfslb14a.htm
Staff Legal Bulletins,SLB 13A,https://www.sec.gov/interps/legal/mrslb13a.htm
Staff Legal Bulletins,SLB 15,https://www.sec.gov/interps/legal/mrslb15.htm
Staff Legal Bulletins,SLB 14,https://www.sec.gov/interps/legal/cfslb14.htm
Staff Legal Bulletins,SLB 13,https://www.sec.gov/interps/legal/mrslb13.htm
Staff Legal Bulletins,SLB 12A,https://www.sec.gov/interps/legal/slbim12a.htm
Staff Legal Bulletins,SLB 11,https://www.sec.gov/interps/legal/slbim11.htm
Staff Legal Bulletins,SLB 10,https://www.sec.gov/interps/legal/slbmr10.htm
Staff Legal Bulletins,SLB 7A,https://www.sec.gov/interps/legal/cfslb7a.htm
Staff Legal Bulletins,SLB 7,https://www.sec.gov/interps/legal/slbcf7.htm
Staff Legal Bulletins,SLB 8,https://www.sec.gov/interps/legal/slbmr8.htm
Staff Legal Bulletins,SLB 7,https://www.sec.gov/interps/legal/slbcf7.htm
Staff Legal Bulletins,SLB 7A,https://www.sec.gov/interps/legal/cfslb7a.htm
Staff Legal Bulletins,SLB 6,https://www.sec.gov/interps/legal/slbcim6.htm
Staff Legal Bulletins,SLB 5,https://www.sec.gov/interps/legal/slbcf5.htm
Staff Legal Bulletins,SEC Excess Personal Property Guidance,https://www.sec.gov/files/ocoo01-excess-pers-prop-guidance.pdf
